,lat,lon,timestamp,amenity,tags,name
6,49.260812,-123.125736,2020-03-20T18:22:12.000-07:00,cafe,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'addr:housenumber': '2787', 'brand:wikipedia': 'en:Starbucks', 'opening_hours': 'Mo-Th 05:30-19:30; Fr-Su 05:30-20:00', 'cuisine': 'coffee_shop', 'addr:street': 'Laurel Street', 'takeaway': 'yes', 'brand': 'Starbucks'}",Starbucks
62,49.2284004,-122.8483834,2019-11-20T11:48:37.000-08:00,cafe,"{'brand:wikidata': 'Q175106', 'addr:housenumber': '1450', 'brand:wikipedia': 'en:Tim Hortons', 'opening_hours': '24/7', 'cuisine': 'coffee_shop', 'addr:street': 'United Boulevard', 'takeaway': 'yes', 'brand': 'Tim Hortons'}",Tim Hortons
64,49.212449,-122.919749,2022-09-04T01:33:49.000-07:00,cafe,"{'brand:wikidata': 'Q175106', 'website': 'https://www.timhortons.com/', 'addr:housenumber': '524', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'source': 'gps/photo survey', 'addr:street': 'Belmont Street', 'takeaway': 'yes', 'brand': 'Tim Hortons', 'operator': 'Restaurant Brands International Inc.'}",Tim Hortons
65,49.2126267,-122.9193393,2022-08-16T04:54:08.000-07:00,cafe,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Starbucks'}",Starbucks
68,49.1935797,-123.1807883,2019-09-14T05:00:22.000-07:00,cafe,"{'brand:wikidata': 'Q175106', 'level': '0', 'brand:wikipedia': 'en:Tim Hortons', 'indoor': 'yes', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Tim Hortons'}",Tim Hortons
83,49.2821554,-123.0998393,2019-09-13T13:57:03.000-07:00,cafe,"{'addr:housenumber': '305', 'addr:street': 'Main Street', 'addr:city': 'Vancouver'}",Waves Coffee
86,49.2831728,-123.0935162,2022-07-30T19:37:43.000-07:00,cafe,"{'opening_hours:signed': 'no', 'check_date:opening_hours': '2022-07-30', 'addr:housenumber': '477', 'addr:street': 'Powell Street', 'addr:city': 'Vancouver'}",The Uncommon Cafe
95,49.2731066,-123.1007271,2020-02-05T20:20:15.000-08:00,cafe,"{'brand:wikidata': 'Q175106', 'addr:housenumber': '195', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'addr:street': 'Terminal Avenue', 'takeaway': 'yes', 'brand': 'Tim Hortons', 'addr:city': 'Vancouver'}",Tim Hortons
108,49.2248956,-122.989539,2022-09-23T17:32:34.000-07:00,cafe,"{'website': 'https://www.sunteabc.com/', 'addr:housenumber': '5172', 'cuisine': 'bubble_tea', 'addr:street': 'Kingsway', 'name:zh-Hans': '新作の茶', 'addr:unit': '150', 'addr:city': 'Burnaby'}",SunTea
111,49.2273082,-122.995242,2021-01-07T06:11:02.000-08:00,cafe,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'website': 'https://www.starbucks.com/store-locator/store/575/centrepoint-kingsway-miller-4847-kingsway-ave-centrepoint-burnaby-bc-v-5-h-4-t', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'addr:city': 'Burnaby', 'addr:housenumber': '4847', 'phone': '+1-604-431-7479', 'opening_hours': 'Mo-Fr 06:00-17:00; Sa-Su 07:00-17:00', 'addr:street': 'Kingsway', 'brand': 'Starbucks'}",Starbucks
