,lat,lon,timestamp,amenity,tags,name
7,49.260953,-123.125704,2019-08-02T18:11:20.000-07:00,fast_food,{'opening_hours': 'Mo-Fr 07:00-17:00; Sa 10:00-14:30'},Salad Loop
33,49.2347493,-123.1547249,2019-09-24T19:58:50.000-07:00,fast_food,"{'brand:wikidata': 'Q38076', 'wheelchair': 'yes', 'website': 'http://www.mcdonalds.ca/', 'addr:housenumber': '2095', 'internet_access': 'wlan', 'brand:wikipedia': ""en:McDonald's"", 'opening_hours': '24/7', 'cuisine': 'burger', 'addr:street': 'West 41st Avenue', 'takeaway': 'yes', 'brand': ""McDonald's""}",McDonald's
100,49.2427149,-123.004048,2021-01-05T03:22:26.000-08:00,fast_food,"{'brand:wikidata': 'Q244457', 'website': 'https://restaurants.subway.com/canada/bc/burnaby/4737-willingdon-ave', 'addr:housenumber': '4737', 'phone': '+1-604-559-5001', 'brand:wikipedia': 'en:Subway (restaurant)', 'opening_hours': 'Mo-Fr 07:00-20:00; Sa 08:00-20:00; Su 08:30-20:00', 'cuisine': 'sandwich', 'addr:street': 'Willingdon Avenue', 'takeaway': 'yes', 'brand': 'Subway'}",Subway
129,49.0911615,-122.9565578,2021-11-14T19:47:11.000-08:00,fast_food,"{'cuisine': 'burger', 'drive_through': 'yes'}",Triple O's
248,49.184369,-122.9507625,2016-08-25T04:42:07.000-07:00,fast_food,"{'cuisine': 'pizza', 'takeaway': 'yes'}",Queensboro Pizza
252,49.2787084,-122.8066737,2020-01-17T07:58:29.000-08:00,fast_food,"{'brand:wikidata': 'Q839466', 'brand:wikipedia': ""en:Domino's Pizza"", 'cuisine': 'pizza', 'name:en': ""Domino's Pizza"", 'takeaway': 'yes', 'brand': ""Domino's""}",Domino's
300,49.2601826,-123.0056472,2021-08-23T00:33:24.000-07:00,fast_food,"{'brand:wikidata': 'Q38076', 'brand:wikipedia': ""en:McDonald's"", 'opening_hours': '24/7', 'cuisine': 'burger', 'takeaway': 'yes', 'brand': ""McDonald's""}",McDonald's
301,49.265883,-123.024278,2022-07-17T22:26:11.000-07:00,fast_food,"{'brand:wikidata': 'Q38076', 'website': 'http://www.mcdonalds.ca/', 'addr:housenumber': '3695', 'internet_access': 'wlan', 'brand:wikipedia': ""en:McDonald's"", 'opening_hours': '24/7', 'cuisine': 'burger', 'addr:street': 'Lougheed Highway', 'takeaway': 'yes', 'brand': ""McDonald's""}",McDonald's
304,49.3810218,-123.0791455,2015-11-14T18:34:31.000-08:00,fast_food,"{'cuisine': 'pastry', 'smoking': 'no'}",Beaver Tails
319,49.1401463,-123.137885,2022-03-15T22:20:29.000-07:00,fast_food,"{'brand:wikidata': 'Q244457', 'cuisine': 'sandwich', 'takeaway': 'yes', 'brand': 'Subway', 'brand:wikipedia': 'en:Subway (restaurant)'}",Subway
512,49.2657244,-123.2430971,2019-04-19T23:12:46.000-07:00,fast_food,{'cuisine': 'mexican'},Red Burrito
513,49.2661113,-123.2420861,2019-05-29T17:24:51.000-07:00,fast_food,"{'brand:wikidata': 'Q7757289', 'cuisine': 'pita', 'takeaway': 'yes', 'brand': 'Pita Pit', 'brand:wikipedia': 'en:Pita Pit'}",Pita Pit
