,lat,lon,name
0,49.1266497,-123.1824699,Best Bite Indian Cuisine
1,49.1327053,-123.0991859,Nando's
2,49.1330103,-123.0955358,Boston Pizza
3,49.2457903,-122.891636,Pho 99
4,49.2457299,-122.891401,Insadong
5,49.2462257,-122.8918439,Best Sushi N Kitchen
6,49.2451974,-122.892176,WINGS Tap and Grill
7,49.2687365,-123.0457293,Fuku Ramen
8,49.281302,-123.0575579,Tacofino Commissary
9,49.2812984,-123.0573443,Miyako Sushi
10,49.2812866,-123.055091,Bad Apple Vegan Restaurant & Bar
11,49.2832655,-123.0978958,St Lawrence Restaurant
12,49.2832876,-123.0980745,Cuhillo
13,49.2796054,-123.100279,MILA
14,49.2796207,-123.1011093,Gold Stone Bakery & Restaurant
15,49.2831638,-123.1035309,The Sardine Can
16,49.2834234,-123.1064112,Jules Bistro
17,49.2427766,-123.004051,Royal Paan
18,49.2258237,-122.994418,Uncle Willy's
19,49.2271784,-122.994952,Cattle Cafe
20,49.2272795,-122.994524,Morak Korean Restaurant
21,49.2271279,-122.994661,Dae-Ji Cutlet House
22,49.2280713,-122.997509,Happy Lamb Hot Pot
23,49.2300571,-123.003696,Dinesty Dumpling House
24,49.2316909,-123.00871,Ramie's Greek Restaurant
25,49.2318234,-123.0090888,Pizza Hut
26,49.2313081,-123.008923,Bubble World
27,49.2313875,-123.009081,Pho 24 Express
28,49.1922303,-123.0924535,Cafe Loyal
29,49.1922386,-123.0923067,Pho Japolo
30,49.2665754,-123.103744,Peaceful Restaurant
31,49.2798592,-122.7997004,Ricky's Bar & Grill
32,49.2785219,-122.8142905,Coquitlam Grill
33,49.2565154,-122.7481768,Poco Sushi
34,49.2821191,-123.133662,NeNe Chicken
35,49.2814778,-123.133602,The Italians
36,49.291387,-123.135016,Banana Leaf
37,49.2907725,-123.134078,Dinesty Dumpling House
38,49.2623182,-123.0884901,Nha Trang Restaurant
39,49.3264332,-123.1392875,White Spot
40,49.1203849,-122.6632837,Umami Sushi
41,49.2873953,-123.128838,JoongWon
42,49.287665,-123.12925,Stepho's Souvlaki Greek Tavern
43,49.2873464,-123.1283402,miss KOREAN BBQ
44,49.2870639,-123.128927,Forage
45,49.2874858,-123.12898,Miko Sushi
46,49.2875631,-123.129718,Cora
47,49.2623184,-123.0895035,Hail Mary's
48,49.2863249,-123.1255978,Kirin Mandarin Restaurant
49,49.28525,-123.125406,Fantacity Karaoke
50,49.1872417,-123.131495,The Captain's Boil
51,49.1874849,-123.1312122,Kyabia
52,49.2766268,-123.1001058,Pizza Farina
53,49.1059413,-122.6624961,NY's Indian Grill & Bar
54,49.1552029,-122.6687533,S+L Kitchen & Bar
55,49.1693268,-122.6664782,White Spot
56,49.1694686,-122.665754,The Old Spaghetti Factory
57,49.1771408,-122.6734773,Zythos Greek Restaurant
58,49.3059961,-123.0105992,Y2 Cafe
59,49.2309718,-123.065371,Shun Jing Lou Seafood Restaurant
60,49.1055548,-122.7402471,The Chopped Leaf
61,49.1035937,-122.4921927,Lotus Garden Express
62,49.1772664,-122.6731048,Zythos
63,49.0513655,-122.6923459,The Biryani Chef
64,49.2010136,-122.9125269,Hub Restaurant New West
65,49.2018963,-122.91265,The Old Spaghetti Factory
66,49.2814683,-123.1172443,Glowbal
67,49.2743218,-123.126942,Kaide Sushi Bar
68,49.1968099,-123.140177,BiBo Italian Restaurant
69,49.1967246,-123.1396099,Ryuu Izakaya
70,49.1968225,-123.14042,Neptune Wonton Noodle
71,49.2909348,-123.136043,Dan Dan Noodle
72,49.1794492,-123.13416,Happy Fish House
73,49.1250427,-123.1853319,Kisamos Greek Taverna
74,49.1630451,-123.1363249,Pho Lan Beef Noodle Soup
75,49.1795513,-123.1375541,FuKuRoKu Sushi Express
76,49.26439,-123.069515,B House Restaurant
77,49.1681085,-122.6675276,Waka Sushi
78,49.2500121,-123.1008107,French Table Bistro
79,49.2498744,-123.1007808,Old Bird
80,49.2797553,-123.0999341,Virtuous Pie
81,49.2454125,-123.1015452,East is East - Main St
82,49.0576667,-122.4692292,Cor's 2 For 1 Pizza
83,49.2189528,-122.96902,Masita Korean Restaurant
84,49.2190275,-122.9694464,Roadside Spicy Pot
85,49.2842334,-123.1090325,Water Street Cafe
86,49.2635812,-123.127202,Minato Japanese Restaurant
87,49.263551,-123.1254837,Chef's Choice Chinese Cuisine
88,49.2634241,-123.117312,Cactus Club Cafe
89,49.2636456,-123.1316944,Royal Seoul House
90,49.2633439,-123.1130715,Menya Raizo
91,49.2218399,-123.0054728,The Chicken
92,49.2617901,-123.1007734,Tocador
93,49.262522,-123.1007068,Cafe Barney
94,49.2635444,-123.1006949,The Wallflower
95,49.2565248,-123.0062372,G-Be Izakaya
96,49.2193183,-123.0410871,54th Ave Cafe
97,49.2812722,-123.0472413,Le Petit Saigon
98,49.1624624,-122.655793,Ocean Park Pizza & Steakhouse
99,49.1761814,-123.1306688,Bull King BBQ
100,49.1761102,-123.1309092,Gingeri Chinese Cuisine
101,49.175972,-123.1306582,Happy Lamb Hot Pot
102,49.1764107,-123.1323338,Toku Japanese Restaurant
103,49.2848775,-123.1256192,Spicy 6
104,49.1842852,-123.0911234,Daddy's Delight Kabobs
105,49.2711045,-123.155196,Cafe Zen
106,49.2691827,-123.0694303,Federico's Supper Club
107,49.2813057,-123.1079703,Mirai Sushi
108,49.2805253,-122.964841,The Peri Peri Shack
109,49.2762369,-122.8445501,Namoo Sushi
110,49.2795471,-122.82931,Romer's Burger Bar
111,49.2764267,-122.849875,Spacca Napoli
112,49.2289206,-123.0043591,S&W Pepper House
113,49.2186313,-122.955309,Cora
114,49.2294159,-123.0052821,Blazing Flame
115,49.2290042,-123.0054102,Grand Crystal Seafood
116,49.2559475,-123.0877967,Thanh Thanh
117,49.1758794,-122.8907911,Mirch Masala
118,49.1764733,-122.8896127,Mehfil India Restaurant
119,49.1497112,-122.8645797,Maharaja Sweets and Restaurant
120,49.1911509,-122.8066783,Sabai Thai Restaurant
121,49.1863982,-122.8444496,Fresgo Inn
122,49.1876113,-122.8435939,Nahm Thai Bistro
123,49.1781171,-123.1356008,Sun Sui Wah Seafood Restaurant
124,49.2254234,-123.065527,Grillzilla Bistro
125,49.1723013,-122.6674779,Fork N Chopstick
126,49.2879922,-123.1404642,Rio Brazilian Steakhouse
127,49.1697933,-123.1378771,Kirin Seafood Restaurant
128,49.2890564,-123.1320225,Liuyishou Hotpot Robson
129,49.0763979,-122.3935046,Brambles Bistro
130,49.225024,-122.990072,Sushi Oyama
131,49.2112394,-122.9353594,Domino Pizza
132,49.1176829,-122.6694722,Legendary Noodle
133,49.1186793,-122.6698975,Wild Wing
134,49.2232465,-122.982719,Potter's Garden
135,49.2344287,-123.036072,Fighter Chicken
136,49.2623272,-123.0898418,Klasik Inasal
137,49.2286297,-122.999512,Sulmida Dessert Cafe
138,49.2257668,-122.9968006,Nando's
139,49.2273734,-123.0000139,Kawawa
140,49.2273299,-122.9999156,Kawawa Ramen
141,49.2916811,-123.1348802,Jingle Bao
142,49.2284147,-123.00452,Yunshang Rice Noodle
143,49.2275482,-122.8370119,Neptune Chinese Kitchen
144,49.2275278,-122.8372893,The Buffet
145,49.2419122,-122.8845042,Char 631 Steakhouse
146,49.251496,-122.896669,IHOP
147,49.2801333,-123.1063965,Abdul's Bbq
148,49.1960486,-123.177943,Hanami
149,49.1653656,-122.6614878,Round Table Pizza
150,49.1674933,-122.6674453,Boston Pizza
151,49.1660159,-122.6635496,Pizza Hut
152,49.1672102,-122.6661043,Montana's
153,49.168192,-122.6674367,The Barley Merchant
154,49.2640395,-123.1801008,Green Leaf Sushi
155,49.1409171,-122.6009339,The Cafe
156,49.1785496,-123.1287621,Emperor's Kitchen
157,49.178688,-123.1288073,Marine Bay Restaurant
158,49.1784635,-123.12746,Tang Vietnamese Restaurant & Bar
159,49.1784672,-123.1306647,Mui Kee Chicken Pot
160,49.178075,-123.1293075,Silver Tower Cafe Restaurant
161,49.178515,-123.1318315,Claypot Hot Pot and BBQ
162,49.17897,-123.1320471,Amigo Restaurant
163,49.178971,-123.1323526,Max Noodle House
164,49.1780926,-123.1318267,Xiaolongkan Hot Pot
165,49.2209906,-123.066042,Fat Boy Kitchen
166,49.2204323,-123.0656741,Karakoram Restaurant
167,49.0353367,-122.2665468,Cactus Club Cafe
168,49.1848929,-122.9493423,Lucky Sushi
169,49.2862529,-123.1276348,Momo Sushi
170,49.2608368,-123.1007648,Mali Thai Food
171,49.2856233,-123.1261012,Hello Nori
172,49.2643451,-123.17572,Deacon's Corner
173,49.262989,-123.1124016,Heritage Asian Eatery
174,49.2189394,-123.0911857,Dosa Hut
175,49.1485272,-122.937111,Boomers Sport Grill
176,49.1874358,-123.1107711,Chop Steakhouse Bar
177,49.2039007,-123.137794,Fresh Window Cafe
178,49.1872734,-123.128619,Richmond Ninkazu
179,49.1824408,-123.1338959,Kanae Yakiniku
180,49.2915693,-123.127516,Cardero's
181,49.2839339,-123.122349,Shabusen
182,49.2616646,-122.8909069,Pho Super Bowl
183,49.2742337,-123.123941,Do Chay
184,49.2747239,-123.122703,Capo and the Spritz
185,49.2746128,-123.1233641,Grand Chinese Restaurant
186,49.2744437,-123.123632,Saigon Xua
187,49.274335,-123.1237928,Tasty Indian Bistro
188,49.2619031,-122.890642,Katsuya
189,49.275171,-123.122572,Hapa Izakaya
190,49.2751034,-123.1220829,The Flying Pig
191,49.2752946,-123.1211862,Robba Da Matti
192,49.2751593,-123.1213923,Paulies Kitchen
193,49.274839,-123.1218884,Sushi Maro
194,49.2809073,-123.009823,Anton's Pasta Bar
195,49.2458146,-123.0900087,Masayoshi
196,49.2467148,-123.1010057,Meet on Main
197,49.2832439,-123.104844,Meet in Gastown
198,49.1524881,-122.8900312,Chongqing
199,49.2513521,-123.1011962,Bob Likes Thai Food
200,49.2507803,-123.1011735,The Fish Counter
201,49.1698396,-122.889851,Thai by Thai
202,49.1542575,-122.8908904,Tasty Indian Bistro
203,49.1654474,-122.8898095,Krishna's Dosa Grill
204,49.1637058,-122.890913,Desi Junction Lounge & Restaurant
205,49.1485074,-122.8714418,Mayuri Indian Cuisine
206,49.11765,-122.668976,Chuck E. Cheese's
207,49.1754035,-123.1342502,No. 9 Restaurant
208,49.1707675,-123.135859,Haidilao Hot Pot
209,49.2313896,-123.0657674,Mui Garden
210,49.2630437,-123.1016379,Fable Diner
211,49.2578328,-122.745482,Orrange Kitchen + Bar
212,49.2544616,-122.7378912,Pho 51
213,49.2580881,-122.745867,Han Sang
214,49.1708897,-122.5768044,The Bedford House
215,49.1694304,-122.5790379,1827
216,49.1696367,-122.5782942,Beatniks Bistro
217,49.1364128,-122.889114,Nando's
218,49.1607342,-122.8911245,Pinch of Spice
219,49.1687435,-122.5798414,Iron Chief
220,49.16977,-122.5765302,Tokyo Garden
221,49.23414,-123.1399405,Grand Honour
222,49.1239577,-123.1846411,Sockeye City Grill
223,49.1609291,-122.8877688,Nordel Sushi
224,49.1468811,-122.8910518,Cactus Club Cafe
225,49.1330328,-123.0964671,Browns Social House
226,49.2638283,-123.1413786,Earls
227,49.274204,-123.153753,The Boathouse Restaurant
228,49.2578148,-123.1650598,Trafalgars Bistro
229,49.3123989,-123.0778703,Meat at O'Neill's
230,49.1152983,-122.6790538,Sushi Mori
231,49.1437425,-122.7994953,Creekside Grill
232,49.3266192,-123.138036,Trattoria Italian Restaurant
233,49.0530329,-122.3170562,Denny's
234,49.1033897,-122.4834866,Colleen's Cafe
235,49.0684981,-122.35853,Chandigarh Restaurant and Rar
236,49.269316,-123.1387834,Afghan Horsemen Restaurant
237,49.2386541,-123.1298219,Shaughnessy Restaurant
238,49.2668529,-123.0090851,Sushi Garden
239,49.2609348,-123.1392811,Heirloom
240,49.2339326,-123.1536982,Ajisai Sushi Bar
241,49.2798107,-123.1224898,Chit Chat Burger Bar
242,49.2475507,-123.1013532,Restaurant Yugo
243,49.283914,-123.115705,Urban Sushi
244,49.1329664,-123.098082,Maruwa Sushi
