,lat,lon,name
0,49.260812,-123.125736,Starbucks
1,49.2284004,-122.8483834,Tim Hortons
2,49.212449,-122.919749,Tim Hortons
3,49.2126267,-122.9193393,Starbucks
4,49.1935797,-123.1807883,Tim Hortons
7,49.2731066,-123.1007271,Tim Hortons
9,49.2273082,-122.995242,Starbucks
10,49.0920471,-122.9575687,Tim Hortons
12,49.2352765,-123.1157382,Starbucks
13,49.3721579,-123.098807,Starbucks
15,49.0408954,-122.2698339,Starbucks
17,49.2866143,-123.1281928,Sharetea
20,49.2686141,-123.158778,Starbucks
21,49.2876133,-123.1149238,Starbucks
22,49.1128069,-122.6724406,Starbucks
23,49.3050257,-123.014402,Tim Hortons
24,49.1328083,-122.8460672,Tim Hortons
25,49.0513627,-122.6919116,Tim Hortons
27,49.197754,-123.1407889,Caffè Artigiano
29,49.1767616,-122.689973,Tim Hortons
31,49.2796208,-123.09998,Starbucks
32,49.2262222,-123.128769,Tim Hortons
35,49.2635122,-123.1233898,Tim Hortons
37,49.2624382,-123.1007191,Bean Around The World
38,49.1237285,-123.1820042,Blenz Coffee
39,49.1048167,-122.8022148,Starbucks
44,49.2260832,-123.001846,Blenz Coffee
47,49.2186088,-122.9564849,Starbucks
48,49.2256778,-122.9973902,Starbucks
50,49.2254283,-122.9974687,Tim Hortons
54,49.2276298,-122.8401252,Starbucks
57,49.2504908,-122.8944559,Starbucks
62,49.2543347,-122.737988,Starbucks
63,49.257451,-122.7437942,Tim Hortons
66,49.1992381,-122.9792371,Starbucks
68,49.1325243,-123.0924899,Starbucks
69,49.2861774,-123.1269715,Blenz
71,49.324043,-123.1099144,Starbucks
72,49.3233347,-123.1138164,Tim Hortons
73,49.3107221,-123.0812615,Bean Around The World
76,49.2846042,-123.124593,Starbucks
77,49.0953173,-122.6241169,Tim Hortons
78,49.1623763,-122.6603266,Tim Hortons
79,49.1196856,-122.6912218,Tim Hortons
80,49.1247605,-122.7048284,Tim Hortons
81,49.1636149,-122.8780219,Tim Hortons
82,49.1502485,-122.8899397,Tim Hortons
83,49.2506688,-122.8967172,Tim Hortons
86,49.2347512,-123.1582643,Tim Hortons
87,49.26437,-123.1674354,Starbucks
98,49.2672707,-123.249929,Starbucks
99,49.0448257,-122.778652,Starbucks
105,49.1240103,-123.180892,Starbucks
107,49.2870382,-123.1181012,Blenz Coffee
111,49.1880051,-122.8492686,Blenz Coffee
112,49.0365053,-122.2912242,Starbucks
119,49.2656284,-123.2543584,Tim Hortons
121,49.2601863,-123.248397,Tim Hortons
122,49.0904049,-123.078078,Starbucks
123,49.1722688,-123.136106,Starbucks
124,49.1712706,-123.1358928,Blenz Coffee
126,49.192187,-123.0836642,Starbucks
127,49.1912604,-123.129409,Starbucks
128,49.2173905,-122.5917912,Starbucks
132,49.2476624,-122.891064,Sharetea
134,49.1953403,-123.1828912,Starbucks
135,49.2638304,-122.766795,Starbucks
138,49.1861239,-122.8479282,Blenz
139,49.1864343,-122.8488672,Starbucks
140,49.1867508,-122.848725,Coco
141,49.1898243,-122.8039243,Starbucks
144,49.2207628,-122.5948477,Starbucks
145,49.2209269,-122.5999694,Blenz Coffee
146,49.2170824,-122.6017268,Tim Hortons
148,49.2206362,-122.5573388,Starbucks
151,49.2386179,-123.0312367,Coco
152,49.2274236,-122.9999891,Tim Hortons
154,49.1020894,-122.6457196,Starbucks
155,49.1625395,-122.635907,Starbucks
156,49.0323555,-122.866914,Starbucks
157,49.0334416,-122.800879,Starbucks
161,49.2789586,-123.1212246,Starbucks
167,49.2893842,-123.1389093,Tim Hortons
170,49.2299196,-122.6903218,Starbucks
172,49.2550997,-123.115364,JJ Bean
174,49.2799372,-123.1073562,Starbucks
184,49.2618354,-122.890293,Coco
187,49.2311162,-123.090421,Tim Hortons
195,49.2344956,-123.1573182,Caffè Artigiano
198,49.2344778,-123.1605904,Starbucks
202,49.3069368,-122.9533963,Starbucks
205,49.2916513,-123.135455,Starbucks
209,49.2625624,-123.0695251,Blenz Coffee
212,49.2820489,-123.118486,Starbucks
218,49.278119,-122.9122848,Starbucks
220,49.2858656,-123.124319,Starbucks
224,49.2859301,-123.1182815,Blenz Coffee
228,49.2636205,-123.1502883,Blenz Coffee
229,49.2652176,-123.250782,Starbucks
234,49.3100831,-123.083185,Starbucks
235,49.1047469,-122.7990471,Tim Hortons
236,49.1692142,-122.958518,Tim Hortons
238,49.2686959,-123.2499019,Tim Hortons
240,49.1977305,-123.1745777,Tim Hortons
243,49.036598,-122.2939306,Tim Hortons
244,49.2105091,-123.1069,Starbucks
245,49.2795168,-122.828018,Starbucks
247,49.2792208,-122.828577,JJ Bean
249,49.2733132,-123.11993,Starbucks
255,49.2251518,-123.0904703,Starbucks
258,49.1583055,-122.780606,Starbucks
259,49.2673455,-123.112992,Starbucks
261,49.2251239,-123.0535019,Starbucks
