,lat,lon,name
1,49.1327053,-123.0991859,Nando's
2,49.1330103,-123.0955358,Boston Pizza
25,49.2318234,-123.0090888,Pizza Hut
39,49.3264332,-123.1392875,White Spot
55,49.1693268,-122.6664782,White Spot
88,49.2634241,-123.117312,Cactus Club Cafe
138,49.2257668,-122.9968006,Nando's
150,49.1674933,-122.6674453,Boston Pizza
151,49.1660159,-122.6635496,Pizza Hut
167,49.0353367,-122.2665468,Cactus Club Cafe
217,49.1364128,-122.889114,Nando's
224,49.1468811,-122.8910518,Cactus Club Cafe
226,49.2638283,-123.1413786,Earls
233,49.0530329,-122.3170562,Denny's
250,49.2047372,-123.1308338,White Spot
256,49.2121488,-123.1409022,Pizza Hut
265,49.1881812,-123.111679,Denny's
277,49.1784334,-123.121667,Nando's
333,49.10485,-122.8028182,Chopped Leaf
338,49.2798153,-123.123638,Freshii
359,49.3240623,-123.1087802,White Spot
369,49.1717889,-123.1359234,White Spot
394,49.2307097,-123.007297,Nando's
403,49.1863895,-122.8474565,Boston Pizza
421,49.127319,-122.845123,Denny's
453,49.218154,-122.643678,White Spot
466,49.1980237,-122.9785339,Pizza Hut
545,49.325981,-123.142336,Cactus Club Cafe
548,49.0326388,-122.801449,White Spot
557,49.2293878,-123.0904982,Pizza Hut
573,49.2376572,-123.1556393,White Spot
588,49.2637428,-123.2104101,Pizza Hut
633,49.3267728,-123.137509,The Keg
641,49.1958534,-123.176981,Freshii
646,49.2861606,-123.124206,The Keg
709,49.2566726,-122.7472741,Freshii
710,49.255495,-122.7466809,White Spot
724,49.2268102,-123.0040761,Boston Pizza
726,49.226408,-123.0036228,Freshii
732,49.1856947,-122.801637,Nando's
744,49.0562149,-122.380711,Denny's
811,49.0375485,-122.8009329,Boston Pizza
825,49.0452033,-122.7781947,Freshii
908,49.1917274,-123.080854,White Spot
923,49.3125664,-123.0822132,Boston Pizza
924,49.3124327,-123.08221,Freshii
957,49.1709535,-123.182439,Pizza Hut
1004,49.2230985,-122.9821688,Denny's
1028,49.0567827,-122.8007447,Nando's
1030,49.1637059,-122.6604812,Denny's
1060,49.1892575,-122.8026063,Freshii
1072,49.2800699,-122.969768,White Spot
1082,49.2750892,-123.122758,Cactus Club Cafe
1083,49.2757748,-123.120516,Earls
1084,49.2765618,-123.119369,The Keg
1101,49.0906097,-123.0802207,Chopped Leaf
1122,49.2129995,-122.9211009,White Spot
1176,49.0459218,-122.7821538,White Spot
1210,49.2778449,-123.1276301,Nando's
1219,49.2187177,-122.5575533,Pizza Hut
1226,49.2169124,-122.5998873,Freshii
1327,49.2179441,-122.6483993,Pizza Hut
1336,49.2521275,-122.7364115,Pizza Hut
1341,49.1576414,-122.890742,Denny's
1355,49.1486894,-123.181721,Freshii
1383,49.2833798,-123.116411,The Keg
1391,49.1326485,-123.0915094,Freshii
1397,49.2251548,-123.1018741,Freshii
1417,49.2492559,-122.8670655,Pizza Hut
1423,49.285504,-123.118815,Cactus Club Cafe
1454,49.2711559,-123.1358083,The Keg
1486,49.132705,-122.3390044,Pizza Hut
1496,49.306933,-123.034556,Freshii
1534,49.2634282,-123.117023,Freshii
1537,49.2544914,-123.101278,Pizza Hut
1544,49.2126549,-122.920993,Freshii
1551,49.224011,-122.89263,Freshii
1572,49.2634179,-123.1396207,Cactus Club Cafe
1599,49.2858999,-123.126487,Earls
1616,49.2808428,-123.00413,Pizza Hut
1618,49.2909157,-123.134307,Pizza Hut
1636,49.2761557,-123.128164,White Spot
1643,49.1905117,-122.9504389,Nando's
1645,49.0589538,-122.4922744,Pizza Hut
1646,49.0580042,-122.4919543,White Spot
1678,49.0244881,-123.069153,White Spot
1699,49.1736004,-123.1475891,Freshii
1706,49.1979422,-122.9748877,Boston Pizza
1738,49.3359055,-123.0376105,Pizza Hut
1756,49.2664116,-123.014025,White Spot
1758,49.2627174,-123.1000189,Freshii
1772,49.1645574,-122.6646365,Nando's
1777,49.2332102,-122.8521201,Cactus Club Cafe
1780,49.110595,-122.6768607,Boston Pizza
1803,49.2790508,-122.8292606,Freshii
1809,49.0458259,-122.776698,Earls
1826,49.137448,-122.8912035,Chopped Leaf
1828,49.2734,-122.7884457,Freshii
1844,49.2472107,-122.893513,White Spot
1859,49.0908788,-123.0833668,Pizza Hut
1875,49.1869381,-122.8000621,Pizza Hut
1876,49.1869046,-122.8005383,Earls
1908,49.2202683,-122.649603,The Keg
1983,49.327463,-123.153993,Earls
2005,49.3216656,-123.0981576,Pizza Hut
2008,49.0311535,-123.0691973,Pizza Hut
2039,49.2059041,-123.0111841,Freshii
2051,49.116251,-122.6703778,Chopped Leaf
2095,49.0502826,-122.3175498,Nando's
2104,49.2682035,-123.1463002,Pizza Hut
2111,49.2682522,-123.1486085,Freshii
2126,49.1170227,-122.6751086,Denny's
2152,49.0585182,-122.3788725,Freshii
2192,49.2778577,-122.9119847,Pizza Hut
2207,49.3262139,-123.1359438,Nando's
2221,49.1057505,-122.802128,White Spot
2224,49.1294146,-122.318647,White Spot
2232,49.2758814,-122.7909785,Pizza Hut
2241,49.133789,-122.8406633,Pizza Hut
2248,49.1381113,-122.8449545,Boston Pizza
2251,49.1200098,-122.733651,Freshii
2256,49.2637211,-123.1347841,Boston Pizza
2264,49.2637686,-123.1632614,White Spot
2289,49.2584314,-123.030685,Boston Pizza
2292,49.3252066,-123.1362289,Freshii
2299,49.2638501,-123.1448497,Denny's
2303,49.2869324,-123.1246607,Freshii
2327,49.0419035,-123.0853223,Nando's
2329,49.035275,-123.0884974,Boston Pizza
2332,49.2534148,-122.7397591,Chopped Leaf
2334,49.2563016,-122.7482111,Boston Pizza
2369,49.3200814,-123.070244,Nando's
2378,49.2637917,-123.1399832,Freshii
2402,49.2819109,-123.1135011,White Spot
2410,49.1129138,-122.668108,Cactus Club Cafe
2411,49.1130331,-122.665699,White Spot
2412,49.1129178,-122.6625851,Nando's
2478,49.0444502,-122.2217322,Chopped Leaf
2482,49.2666586,-123.0108132,Cactus Club Cafe
2483,49.19063,-122.847976,Freshii
2493,49.2005315,-122.9182651,Boston Pizza
2510,49.2738174,-122.7924448,Nando's
2556,49.1583928,-122.780223,Pizza Hut
2569,49.2276704,-123.003325,Cactus Club Cafe
2580,49.1026873,-122.6456899,Freshii
2588,49.3242115,-123.1039789,Boston Pizza
2590,49.265034,-122.7766191,Pizza Hut
2676,49.2815936,-123.123754,Earls
2706,49.2596044,-123.001938,The Keg
2713,49.1654248,-122.6646457,Chopped Leaf
2714,49.2196157,-122.6569388,Chopped Leaf
2763,49.2802104,-123.1311973,Denny's
2767,49.2228919,-122.9841704,White Spot
2773,49.0604379,-122.8046596,Cactus Club Cafe
2774,49.0611306,-122.801846,The Keg
2794,49.1620182,-122.658642,Freshii
2808,49.1876258,-122.8459699,White Spot
2851,49.1978551,-122.977438,White Spot
2857,49.0513645,-122.6921175,Pizza Hut
2876,49.2184665,-122.949943,Pizza Hut
2893,49.0254625,-123.0678604,Chopped Leaf
2895,49.1643462,-122.7960114,Denny's
